City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Xunchang,CN,2022-02-09 07:52:52,28.4543,104.715,48.54,56,99,4.68
199,Usogorsk,RU,2022-02-09 07:52:52,63.4106,48.6872,16.99,92,100,10.38
200,Hambantota,LK,2022-02-09 07:52:53,6.1241,81.1185,89.94,48,20,9.22
201,Hualmay,PE,2022-02-09 07:52:53,-11.0964,-77.6139,68.7,85,62,6.31
202,La Carolina,ES,2022-02-09 07:52:54,38.2756,-3.6153,49.71,71,0,4.0
203,Sechura,PE,2022-02-09 07:52:54,-5.5569,-80.8222,71.19,75,90,5.12
204,Chokurdakh,RU,2022-02-09 07:52:54,70.6333,147.9167,-41.73,99,79,6.82
205,Bathsheba,BB,2022-02-09 07:52:55,13.2167,-59.5167,74.01,78,40,6.91
206,Olafsvik,IS,2022-02-09 07:52:55,64.8945,-23.7142,32.7,72,97,34.2
207,Alto Piquiri,BR,2022-02-09 07:52:56,-24.0281,-53.4406,61.74,66,0,2.39
208,Sitio Novo Do Tocantins,BR,2022-02-09 07:52:56,-5.5183,-47.4611,78.73,94,20,2.3
209,Taikang,CN,2022-02-09 07:52:57,46.8333,124.4167,16.36,87,33,4.14
210,Qaanaaq,GL,2022-02-09 07:50:14,77.484,-69.3632,-21.95,84,54,7.45
211,Provideniya,RU,2022-02-09 07:52:57,64.3833,-173.3,-14.84,85,22,10.67
212,Mount Gambier,AU,2022-02-09 07:52:58,-37.8333,140.7667,69.71,56,100,17.27
213,Antofagasta,CL,2022-02-09 07:52:58,-23.65,-70.4,63.68,86,37,3.13
214,San Quintin,MX,2022-02-09 07:50:28,30.4833,-115.95,58.15,50,11,2.91
215,Manutuke,NZ,2022-02-09 07:52:59,-38.6833,177.9167,71.98,94,31,4.83
216,Mecca,SA,2022-02-09 07:52:59,21.4267,39.8261,77.54,59,0,1.83
217,Dikson,RU,2022-02-09 07:53:00,73.5069,80.5464,-0.99,94,100,22.24
218,Matara,LK,2022-02-09 07:53:00,5.9485,80.5353,84.63,55,100,6.78
219,Skjervoy,NO,2022-02-09 07:53:00,70.0311,20.9714,32.18,63,18,15.21
220,Nantucket,US,2022-02-09 07:53:01,41.2835,-70.0995,33.91,72,1,25.48
221,Davila,PH,2022-02-09 07:53:01,18.4726,120.5763,84.18,78,17,21.09
222,Makakilo City,US,2022-02-09 07:48:44,21.3469,-158.0858,72.68,71,0,4.61
223,Hay River,CA,2022-02-09 07:54:02,60.8156,-115.7999,-9.42,77,75,9.22
224,Tranbjerg,DK,2022-02-09 07:54:02,56.0901,10.1194,45.09,91,100,17.54
225,Tres Arroyos,AR,2022-02-09 07:54:03,-38.3739,-60.2798,58.6,71,8,9.51
226,Kruisfontein,ZA,2022-02-09 07:54:03,-34.0033,24.7314,75.88,50,0,13.15
227,Port Hardy,CA,2022-02-09 07:54:04,50.6996,-127.4199,46.76,93,100,12.66
